Date,Price,Open,High,Low,Vol.,Change %
01-Jan-18,68565.9,"68,551.00","70,610.80","67,278.15",1.12K,0.56
02-Jan-18,68180.8,"67,025.35","68,450.00","67,009.75",0.64K,1.84
03-Jan-18,66951.25,"67,169.00","68,469.85","66,700.05",0.45K,-1.32
04-Jan-18,67847.2,"68,751.10","69,443.05","67,500.00",3.21K,-1.54
05-Jan-18,68909.25,"69,955.00","70,150.00","68,700.00",0.37K,-1.51
06-Jan-18,69966.4,"69,689.85","70,469.25","69,551.15",0.44K,0.5
07-Jan-18,69619.15,"69,150.05","69,940.00","68,959.50",0.37K,0.71
08-Jan-18,69127.55,"69,449.90","69,449.90","68,605.05",0.38K,0.26
09-Jan-18,68945.85,"70,828.90","70,828.90","68,703.40",0.66K,-2.11
10-Jan-18,70433.5,"70,500.00","70,660.00","69,808.40",0.38K,0.23
11-Jan-18,70272.3,"71,400.00","71,788.00","69,946.00",0.43K,-1.89
12-Jan-18,71623.05,"72,000.00","72,489.00","71,500.00",0.56K,-0.51
13-Jan-18,71990.1,"72,509.85","73,000.00","71,855.45",0.50K,-0.25
14-Jan-18,72169.45,"72,438.30","72,633.90","72,000.00",0.33K,-0.35
15-Jan-18,72423.15,"72,754.00","73,198.70","72,100.20",0.36K,-0.71
16-Jan-18,72941.7,"72,600.00","73,201.00","72,077.05",0.53K,0.6
17-Jan-18,72507.55,"73,189.90","73,412.55","72,326.45",1.07K,-0.51
01-Dec-17,64731.95,"63,419.90","64,948.80","63,255.00",0.61K,2.52
03-Dec-17,66327.75,"66,650.00","67,221.90","65,814.40",0.45K,-0.48
05-Dec-17,65640.65,"65,960.00","66,665.95","65,500.85",0.37K,-0.46
07-Dec-17,67309.9,"66,400.05","67,700.00","65,900.00",1.01K,1.67
09-Dec-17,65009.85,"66,665.80","66,665.80","64,897.85",0.46K,-1.04
11-Dec-17,67286.5,"65,188.00","67,700.00","63,800.00",2.44K,3.54
13-Dec-17,67743.45,"67,900.00","68,600.00","67,575.00",0.68K,-0.92
15-Dec-17,69607.3,"68,797.00","69,800.05","68,616.40",0.80K,2.09
17-Dec-17,68782.35,"69,069.00","69,765.50","68,500.10",0.33K,-1
19-Dec-17,69520.45,"70,020.20","70,020.20","69,300.15",0.39K,-0.4
21-Dec-17,69450.8,"69,459.90","69,793.70","69,236.10",0.31K,0.56
23-Dec-17,69534.65,"70,300.00","70,341.90","69,361.40",0.29K,-0.97
25-Dec-17,68626.3,"69,169.65","69,169.65","68,251.00",0.39K,-1.15
27-Dec-17,66301.5,"66,214.00","66,836.45","65,868.50",0.46K,0.13
29-Dec-17,66794.75,"66,168.00","67,239.90","66,168.00",0.38K,-0.06
31-Dec-17,68164.5,"66,950.00","68,300.00","66,950.00",0.48K,1.62
01-Nov-17,64425.1,"65,500.00","65,777.15","64,105.35",0.75K,-1.27
04-Nov-17,64934.9,"64,600.00","65,300.00","64,600.00",2.64K,0.78
07-Nov-17,63288.7,"64,447.90","64,447.90","63,165.00",0.49K,-1.32
10-Nov-17,62745.05,"62,700.00","62,949.95","62,239.95",0.64K,-0.01
13-Nov-17,62993.7,"62,100.00","63,929.95","62,100.00",1.49K,1.7
16-Nov-17,63195.65,"63,208.15","63,657.90","63,001.85",0.54K,0.38
19-Nov-17,64701.25,"64,505.15","65,250.00","64,500.05",0.40K,0.05
22-Nov-17,63701.3,"63,896.55","63,896.55","63,515.05",0.21K,-0.25
25-Nov-17,63685.65,"63,705.70","63,976.90","63,598.10",0.18K,-0.23
28-Nov-17,63051.2,"63,450.00","63,539.85","63,000.00",0.26K,-0.67
04-Oct-17,70805.05,"69,340.90","71,068.55","69,235.00",1.89K,2.21
08-Oct-17,66720.95,"67,201.00","68,111.25","66,655.05",0.95K,-1.56
12-Oct-17,63787.1,"64,999.00","64,999.00","63,611.10",0.80K,-0.15
16-Oct-17,63422.75,"63,800.00","64,700.00","63,070.05",0.88K,-0.39
20-Oct-17,62953.5,"63,300.00","63,300.00","62,882.05",0.40K,-0.22
24-Oct-17,65145.8,"64,200.00","65,350.00","64,136.15",1.07K,1.52
28-Oct-17,64391.1,"65,450.00","65,450.00","64,100.00",0.50K,-0.9
05-Sep-17,71615.6,"71,876.70","72,304.30","71,373.00",0.61K,-0.16
10-Sep-17,68741.05,"69,180.00","69,799.90","68,500.00",0.88K,-0.27
15-Sep-17,70221.25,"70,700.05","71,474.85","70,005.30",0.87K,-0.6
20-Sep-17,69641.1,"70,149.00","70,345.60","69,501.00",0.55K,-0.44
26-Sep-17,68829.2,"69,441.60","69,699.95","68,650.05",0.74K,-0.39
01-Aug-17,68712.35,"68,817.45","69,770.00","68,400.00",1.70K,0.4
07-Aug-17,66091.65,"66,000.00","67,300.00","65,930.00",1.73K,0.21
13-Aug-17,65877.85,"67,998.00","67,998.00","64,162.55",1.90K,-1.74
25-Aug-17,68670.3,"68,684.10","69,150.00","67,300.00",1.53K,0.76
08-Jul-17,59904.9,"59,250.00","60,140.00","59,135.90",2.28K,1.22
16-Jul-17,61010.05,"60,899.00","61,810.00","60,675.00",1.33K,-0.15
24-Jul-17,63521.4,"63,280.00","63,620.00","62,800.00",1.01K,0.54
